SEX_TYPE_PID, ABBREVIATION, INSERT_TSTMP, UPDATE_TSTMP, TABLE_ID, LABEL_PID
1, "M", "2019-02-24 11:35:20.691", "2019-02-24 15:02:30.042", 1, 1
2, "F", "2019-02-24 11:37:14.072", "2019-02-24 14:59:44.384", 1, 2
