PARTNER_ROLE_PID, ABBREVIATION, LABEL_PID, INSERT_TSTMP, UPDATE_TSTMP, TABLE_ID
1, "SPOUSE", 40,  "2019-03-29 10:08:55.642",  "2019-03-29 10:19:37.743", 26
2, "REGIST", 43,  "2019-03-30 20:04:46.334",  "2019-03-30 20:04:46.334", 26 
