NAME_STYLE_PID, ISO_CODE, LABEL_PID, INSERT_TSTMP, UPDATE_TSTMP, TABLE_ID
1, "ENUS", 5, "2019-02-27 08:53:09.676", "2019-02-27 08:53:09.676", 14
2, "DADK", 11, "2019-02-28 13:17:32.492", "2019-02-28 13:17:32.492", 14
